time,cooling_load,ambient_temperature,electricity_price,pv_power_generation
4.0,0.0,20.097105535948703,0.03,0.0
5.0,0.0,19.996517285037804,0.03,0.0
6.0,0.0,19.913529517139064,0.03,73.52845593666096
7.0,0.0,19.87088982086429,0.03,279.50853569706044
8.0,0.0,19.913519599528605,0.03,564.6365783421951
9.0,0.0,20.006614854999583,0.03,883.4158506423344
10.0,0.0,20.09576822643268,0.03,1169.2186667084495
11.0,0.0,20.13842736346973,0.03,1365.9850510484555
12.0,0.0,20.202260897186683,0.03,1439.4266614764308
13.0,0.0,20.25531685924113,0.03,1387.5293909347406
14.0,0.0,20.30713275795744,0.03,1214.6067434652423
15.0,0.0,20.36089746157153,0.03,957.062140619666
16.0,0.0,20.41027194875017,0.03,668.5960189105824
17.0,0.0,20.43924761987133,0.03,414.5821327814032
18.0,0.0,20.43214282111027,0.03,287.6507454117047
19.0,0.0,20.38365101287985,0.03,169.33454258489428
20.0,0.0,20.294352267845863,0.03,48.367282244049896
21.0,0.0,20.17315342351549,0.03,0.0
22.0,0.0,20.02709626985391,0.03,0.0
23.0,0.0,19.890904044324056,0.03,0.0
24.0,0.0,19.76564163749219,0.03,0.0
1.0,0.0,19.65340621490432,0.03,0.0
2.0,0.0,19.55982921492988,0.03,0.0
3.0,0.0,19.48868155554632,0.03,0.0
4.0,0.0,19.42924028685414,0.03,0.0
5.0,0.0,19.37432902192136,0.03,0.0
6.0,0.0,19.344392323776788,0.03,69.91447692395192
7.0,0.0,19.3740171280474,0.03,312.9275798993904
8.0,4946.8183430521685,19.5290776545094,0.165,679.5177531296773
9.0,6668.170940363285,19.74747155873813,0.3,1086.302464836427
10.0,5966.528265307026,19.92684424157855,0.3,1432.6399530392082
11.0,5605.188480500485,20.02418323326301,0.3,1650.3633400790854
12.0,5472.341721996896,20.105760427542343,0.3,1711.556918365998
13.0,5439.170470430163,20.21510472677488,0.3,1610.4004011394486
14.0,5417.626021099115,20.347413765173734,0.3,1344.7939820087695
15.0,5360.391466214997,20.48298391077057,0.3,958.021566055173
16.0,5227.5338766173445,20.61483622728105,0.3,538.3946487857916
17.0,5023.981738669811,20.71493063098641,0.3,200.04566254295884
18.0,4776.510276285188,20.78324454856157,0.3,122.37509894134868
19.0,1767.514123353346,20.837008448683257,0.3,71.34746973302762
20.0,2568.985079559836,20.82706871129192,0.165,20.318110223372425
21.0,0.0,20.78426659500428,0.165,0.0
22.0,0.0,20.686756325779065,0.165,0.0
23.0,0.0,20.59088647030466,0.165,0.0
24.0,0.0,20.51316951250933,0.03,0.0
1.0,0.0,20.417770141179847,0.03,0.0
2.0,0.0,20.28598523376317,0.03,0.0
3.0,0.0,20.158763376287784,0.03,0.0
4.0,0.0,20.03524850131401,0.03,0.0
5.0,0.0,19.92626092495984,0.03,0.0
6.0,0.0,19.852241144668728,0.03,71.50453798821077
7.0,0.0,19.843906152899503,0.03,287.8418416378197
8.0,4708.5116357791885,19.91796316690301,0.165,600.2495637253452
9.0,6212.109603746145,20.145101304178183,0.3,943.359050178826
10.0,5187.785869390278,20.36553750507461,0.3,1244.5591347909012
11.0,5000.49193985303,20.53898732910156,0.3,1442.2490233263538
12.0,5029.951224603553,20.70717569897412,0.3,1511.3592639890155
13.0,5118.988131708411,20.887078632595006,0.3,1439.5609153938506
14.0,5142.21599416858,21.07157167292078,0.3,1241.3962733856474
15.0,5119.172876922052,21.252636550285768,0.3,950.5556418033432
16.0,5030.737556532872,21.40897287066072,0.3,625.4913295388056
17.0,4870.212030273591,21.516428110266425,0.3,348.4469389785689
18.0,4666.625506353811,21.57547467005389,0.3,236.51750041556792
19.0,1526.0599530935576,21.60596338896376,0.3,139.76518462843293
20.0,3334.3808727117203,21.57049113698428,0.165,38.84140175866444
21.0,0.0,21.50694492489177,0.165,0.0
22.0,0.0,21.39056294964616,0.165,0.0
23.0,0.0,21.28019768543342,0.165,0.0
24.0,0.0,21.19967683115004,0.03,0.0
1.0,0.0,21.101547733638974,0.03,0.0
2.0,0.0,20.96775815271718,0.03,0.0
3.0,0.0,20.84518383268593,0.03,0.0
4.0,0.0,20.73891487528004,0.03,0.0
5.0,0.0,20.63372730444601,0.03,0.0
6.0,0.0,20.54533125059731,0.03,67.17913255687462
7.0,0.0,20.49010329435605,0.03,264.84797109506
8.0,5391.97917294354,20.548616539350768,0.165,533.831721678477
9.0,6408.347975284811,20.74463251502832,0.3,834.7240867949985
10.0,4948.422029438643,20.965359310566964,0.3,1101.1793530266757
11.0,4885.704566541621,21.150747002205414,0.3,1290.5891391488692
12.0,4937.729331739941,21.315839456221628,0.3,1363.3224988568777
13.0,5040.725841376204,21.485482958232808,0.3,1318.8065502616669
14.0,5054.968212182196,21.663508411135812,0.3,1162.6838523562014
15.0,5041.356076848142,21.82622807077566,0.3,926.507361333826
16.0,4960.724249023971,21.96413872340885,0.3,661.0642447146203
17.0,4830.7106001359625,22.071930888190867,0.3,420.9549847608306
18.0,4649.477126125977,22.15130028710417,0.3,293.88889385976626
19.0,1480.5865553540884,22.19889797748668,0.3,173.47468387853755
20.0,3176.72640287728,22.165604488440948,0.165,47.54934842172517
21.0,0.0,22.105147868300705,0.165,0.0
22.0,0.0,21.99834727121402,0.165,0.0
23.0,0.0,21.91761807573445,0.165,0.0
24.0,0.0,21.87109298650577,0.03,0.0
1.0,0.0,21.82739747181497,0.03,0.0
2.0,0.0,21.72569582780301,0.03,0.0
3.0,0.0,21.60582872717788,0.03,0.0
4.0,0.0,21.48099494248856,0.03,0.0
5.0,0.0,21.37958670485563,0.03,0.0
6.0,0.0,21.29727856870856,0.03,46.831422649581874
7.0,0.0,21.247435738672092,0.03,172.81905764443445
8.0,6301.374858787105,21.243371152058856,0.165,332.9122921000425
9.0,5034.844568518687,21.34482698460348,0.3,509.958171268336
10.0,4697.574498436485,21.50371892057732,0.3,677.356067042859
11.0,4481.869632922317,21.66612393814112,0.3,813.5941260623488
12.0,4723.380899997848,21.81994493108444,0.3,886.8137244274078
13.0,4800.608884002113,21.96708157385242,0.3,887.428889669617
14.0,4766.26826763656,22.064112920755058,0.3,829.6123882666701
15.0,4721.890751709714,22.09807495029461,0.3,723.8383417623237
16.0,4648.217146813226,22.06824383133053,0.3,592.5794041879442
17.0,4556.785739000379,22.07533426432253,0.3,450.449022367516
18.0,4455.230093047781,22.118486976445435,0.3,320.31916169233006
19.0,2744.144700775601,22.2033768393652,0.3,187.80934870309105
20.0,4436.709330391812,22.194439678268576,0.165,47.865087486289696
21.0,0.0,22.12293360231052,0.165,0.0
22.0,0.0,22.01915182314895,0.165,0.0
23.0,0.0,21.93167883382179,0.165,0.0
24.0,0.0,21.869740512209827,0.03,0.0
1.0,0.0,21.786931920212687,0.03,0.0
2.0,0.0,21.641509389199545,0.03,0.0
3.0,0.0,21.492460844462407,0.03,0.0
4.0,0.0,21.35563440000346,0.03,0.0
5.0,0.0,21.230202918407528,0.03,0.0
6.0,0.0,21.12048417427712,0.03,59.970338636704426
7.0,0.0,21.06222928365393,0.03,222.95453034280305
8.0,4906.808545122232,21.07060687280616,0.165,440.988267157033
9.0,5922.447860755145,21.23587259841984,0.3,680.9432676840838
10.0,4554.355478464383,21.410631738682785,0.3,905.98494365336
11.0,4475.145375783999,21.570250090695904,0.3,1072.7757509014705
12.0,4611.872778023661,21.72855062437777,0.3,1151.2870724279396
13.0,4747.460681806131,21.88234499043168,0.3,1134.4018376682573
14.0,4776.115844343881,22.02008401019982,0.3,1026.9986618587134
15.0,4774.592088748881,22.13641997055065,0.3,857.5906526798541
16.0,4716.18304272566,22.23122987407428,0.3,659.8425328859772
17.0,4613.47774924123,22.310425572592308,0.3,469.608271746314
18.0,4468.828656335364,22.36216611595697,0.3,333.22233361329523
19.0,1834.2143964233628,22.400557819884924,0.3,196.08960554205143
20.0,3448.9946626693527,22.35080902991596,0.165,52.378092473867575
21.0,0.0,22.26629206401013,0.165,0.0
22.0,0.0,22.13982918420936,0.165,0.0
23.0,0.0,22.02701079260877,0.165,0.0
24.0,0.0,21.95039593472281,0.03,0.0
1.0,0.0,21.86436384003239,0.03,0.0
2.0,0.0,21.728377213931225,0.03,0.0
3.0,0.0,21.585247466920848,0.03,0.0
4.0,0.0,21.44931011842612,0.03,0.0
5.0,0.0,21.328166739112,0.03,0.0
6.0,0.0,21.230222151427483,0.03,62.68323555777677
7.0,0.0,21.177637393094223,0.03,280.1817136985457
8.0,0.0,21.242120289848323,0.165,591.4356271894026
9.0,0.0,21.41173884436848,0.165,941.5302843621172
10.0,0.0,21.58634804965813,0.165,1243.1978856657995
11.0,0.0,21.69382512782876,0.165,1449.0471177177424
12.0,0.0,21.78813440159849,0.165,1519.1577718186072
13.0,0.0,21.89405668631696,0.165,1451.9199639000376
14.0,0.0,21.98496800888961,0.165,1248.5705475817565
15.0,0.0,22.065846951272096,0.165,947.3010368938678
16.0,0.0,22.134770665370564,0.165,614.4596217428718
17.0,0.0,22.182083160907684,0.165,329.712408413133
18.0,0.0,22.192364734981247,0.165,222.06445996086447
19.0,0.0,22.16918908105082,0.165,129.7349074420139
20.0,0.0,22.11584885906144,0.165,33.33786051461979
21.0,0.0,22.025741931004017,0.165,0.0
22.0,0.0,21.90714361159282,0.165,0.0
23.0,0.0,21.796676278357964,0.165,0.0
24.0,0.0,21.69569361915009,0.03,0.0
1.0,0.0,21.58739805108676,0.03,0.0
2.0,0.0,21.46600752939801,0.03,0.0
3.0,0.0,21.34363228644537,0.03,0.0
4.0,0.0,21.23144840626858,0.03,0.0
5.0,0.0,21.1359527826994,0.03,0.0
6.0,0.0,21.06677115130737,0.03,58.88167373681291
7.0,0.0,21.05245125582329,0.03,237.85285923125755
8.0,0.0,21.09948059069383,0.03,478.3669025801665
9.0,0.0,21.206364042362228,0.03,748.231900978748
10.0,0.0,21.340050653827305,0.03,996.32085770848
11.0,0.0,21.44366722152261,0.03,1176.5335432776888
12.0,0.0,21.571831892570145,0.03,1254.7850124755864
13.0,0.0,21.67443262142043,0.03,1222.8699269111903
14.0,0.0,21.77602179604345,0.03,1093.5568206380008
15.0,0.0,21.85797288242073,0.03,891.5746982570506
16.0,0.0,21.92616624328216,0.03,659.3485497501562
17.0,0.0,21.957569954965347,0.03,445.3409897410861
18.0,0.0,21.958153911567774,0.03,314.7768196956278
19.0,0.0,21.93209929676328,0.03,184.20776584876324
20.0,0.0,21.874298529047305,0.03,47.72247271002574
21.0,0.0,21.78535495677516,0.03,0.0
22.0,0.0,21.66888079788079,0.03,0.0
23.0,0.0,21.56092462533221,0.03,0.0
24.0,0.0,21.46045457740944,0.03,0.0
1.0,0.0,21.364540472181574,0.03,0.0
2.0,0.0,21.276913199067064,0.03,0.0
3.0,0.0,21.19973328435533,0.03,0.0
4.0,0.0,21.125657049661,0.03,0.0
5.0,0.0,21.06552109261432,0.03,0.0
6.0,0.0,21.02835049946508,0.03,50.294303761380775
7.0,0.0,21.03706462311064,0.03,197.92164288880872
8.0,6880.373504585563,21.122666830790227,0.165,389.37195454178175
9.0,6601.366510233132,21.26587244986296,0.3,602.7896546689788
10.0,5440.956272989759,21.464801968349416,0.3,803.5964823236509
11.0,4586.547649883123,21.663812906963248,0.3,960.7088386277454
12.0,4902.285195553345,21.84654360106685,0.3,1036.6329128679886
13.0,5348.690021657721,22.01908510769884,0.3,1029.8557090828492
14.0,5339.79631058716,22.18036858181833,0.3,941.4789183104398
15.0,5501.132823869315,22.32964049511132,0.3,796.8273939501175
16.0,5634.707218081408,22.46544798489974,0.3,626.0049204232066
17.0,5725.34171593959,22.57049659511399,0.3,459.0651957367148
18.0,6057.7910086002885,22.63037482910874,0.3,327.94722707504405
19.0,1850.3087081946944,22.66405544658312,0.3,193.0054174372302
20.0,3410.30700789216,22.633835867381464,0.165,48.56983258269183
21.0,0.0,22.583542586037936,0.165,0.0
22.0,0.0,22.499673440813524,0.165,0.0
23.0,0.0,22.415471518485827,0.165,0.0
24.0,0.0,22.34873568766704,0.03,0.0
1.0,0.0,22.26113419519521,0.03,0.0
2.0,0.0,22.13532482652637,0.03,0.0
3.0,0.0,22.00916036736871,0.03,0.0
4.0,0.0,21.892266649159613,0.03,0.0
5.0,0.0,21.79089256602271,0.03,0.0
6.0,0.0,21.71027717863067,0.03,43.41314803575098
7.0,0.0,21.66879537807325,0.03,178.38023345360452
8.0,6133.107255077929,21.69198840991507,0.165,348.43069998341844
9.0,5486.466342434656,21.814397403989588,0.3,537.6231263365512
10.0,5183.494635724914,21.999618485125257,0.3,720.8372950061217
11.0,3963.628440184023,22.189231352842256,0.3,864.9821749303461
12.0,4141.085166703084,22.366043510552863,0.3,940.8650998118288
13.0,3915.258937962242,22.527399572571984,0.3,939.0726022937348
14.0,4642.244538555179,22.665200798942,0.3,869.1574068414011
15.0,5333.738551658456,22.77592337861225,0.3,746.6888553687926
16.0,5851.258899004444,22.85788652633988,0.3,600.1432167342502
17.0,6160.789770456082,22.92113126135221,0.3,450.6972161269151
18.0,5932.509956847727,22.953843835490467,0.3,323.50679026678984
19.0,2724.291463981729,22.970999177363208,0.3,189.1115891967154
20.0,3954.070094396101,22.9175177190349,0.165,44.68083041355472
21.0,0.0,22.84702056577563,0.165,0.0
22.0,0.0,22.73986591330731,0.165,0.0
23.0,0.0,22.63805700846646,0.165,0.0
24.0,0.0,22.56531756342682,0.03,0.0
1.0,0.0,22.47339914717109,0.03,0.0
2.0,0.0,22.33201766683655,0.03,0.0
3.0,0.0,22.17911795696088,0.03,0.0
4.0,0.0,22.031787308564223,0.03,0.0
5.0,0.0,21.898034946284376,0.03,0.0
6.0,0.0,21.786321270585265,0.03,55.39670913832398
7.0,0.0,21.72459865770441,0.03,270.69959920317274
8.0,4910.885786567365,21.76651286239068,0.165,585.7598071642664
9.0,6562.196736185593,21.97017416202084,0.3,940.932350493404
10.0,5328.394621116677,22.189299826333407,0.3,1243.1277390309408
11.0,5190.074226775919,22.35714073469049,0.3,1448.9736922011368
12.0,5172.727492094227,22.51069959341644,0.3,1519.3122926042658
13.0,5245.1770702778695,22.67530633654923,0.3,1449.5905847728127
14.0,5265.499508141573,22.848142372078943,0.3,1244.8171165637889
15.0,5248.509448050832,23.01379770732776,0.3,938.2239345585828
16.0,5143.327693291281,23.1633025621686,0.3,602.7121063242954
17.0,4980.601229493401,23.27818191430966,0.3,316.3098357647776
18.0,4766.198400204315,23.363329354767416,0.3,212.50994578471855
19.0,2359.50297143275,23.431490678456385,0.3,122.76922063020584
20.0,2945.922804871307,23.38907628306011,0.165,28.502844303147292
21.0,0.0,23.312204354038137,0.165,0.0
22.0,0.0,23.1794497871884,0.165,0.0
23.0,0.0,23.07013728482289,0.165,0.0
24.0,0.0,22.96546775188719,0.03,0.0
1.0,0.0,22.83984130422821,0.03,0.0
2.0,0.0,22.68627612423329,0.03,0.0
3.0,0.0,22.5459434854222,0.03,0.0
4.0,0.0,22.426640636762503,0.03,0.0
5.0,0.0,22.313247049095928,0.03,0.0
6.0,0.0,22.219924393014622,0.03,51.906919417801625
7.0,0.0,22.18024930760327,0.03,275.0039638723108
8.0,6256.372398467704,22.245330539107304,0.165,614.82412696612
9.0,5800.70108097143,22.41872478065788,0.3,1002.8982296128062
10.0,5797.4036657220495,22.60069954948278,0.3,1339.3356391163404
11.0,5435.635450188077,22.71868671248681,0.3,1550.0092166566465
12.0,5407.276069366394,22.83543183698512,0.3,1609.4362625627368
13.0,5410.28451270498,22.995049941906096,0.3,1510.550339453156
14.0,5402.091743305665,23.13608980774236,0.3,1280.834432761172
15.0,5355.524266962239,23.22053918731804,0.3,939.5944842793542
16.0,5265.129149367822,23.22980289827013,0.3,560.5688461472856
17.0,6123.383764617567,23.222150672454568,0.3,240.90446443117204
18.0,5924.578870567737,23.20988372825004,0.3,155.81100049148165
19.0,3568.752211789648,23.17015428165532,0.3,89.78039544262697
20.0,4321.65947936237,23.091636812868416,0.165,20.126772230169717
21.0,0.0,23.00646594904768,0.165,0.0
22.0,0.0,22.905817846444585,0.165,0.0
23.0,0.0,22.79777626329334,0.165,0.0
24.0,0.0,22.7031733635532,0.03,0.0
1.0,0.0,22.561418807831863,0.03,0.0
2.0,0.0,22.36703336721269,0.03,0.0
3.0,0.0,22.16792527550045,0.03,0.0
4.0,0.0,21.965831316955665,0.03,0.0
5.0,0.0,21.780348365930813,0.03,0.0
6.0,0.0,21.6264856455464,0.03,52.80019416007181
7.0,0.0,21.543777217059564,0.03,268.40037086022534
8.0,4965.311046030984,21.55414550878395,0.165,589.8426164203242
9.0,4703.89105949136,21.66931706302656,0.3,951.8535417416672
10.0,4824.700828577411,21.85846156994279,0.3,1269.1276164935232
11.0,5059.504840151354,21.96255463737761,0.3,1480.5344189052817
12.0,4915.129266918606,22.06188551809653,0.3,1553.2484416450914
13.0,4701.121445077084,22.18430641701751,0.3,1477.4396196521575
14.0,4709.783752764416,22.30315894067789,0.3,1266.3443320627034
15.0,4729.354688477604,22.407106470665934,0.3,954.9163785704552
16.0,4616.992688571915,22.49723143753537,0.3,613.4900576049488
17.0,4721.462530221034,22.56272081080193,0.3,322.4637594953622
18.0,4762.078708496155,22.59723865509308,0.3,218.32880547476893
19.0,3380.4007553692504,22.617737603153547,0.3,124.71454270975332
20.0,3865.680336185842,22.568165006775946,0.165,27.08052826146736
21.0,0.0,22.49315604905333,0.165,0.0
22.0,0.0,22.39647111079384,0.165,0.0
23.0,0.0,22.285005532516227,0.165,0.0
24.0,0.0,22.18182007383257,0.03,0.0
1.0,0.0,22.03629673448322,0.03,0.0
2.0,0.0,21.83725195546206,0.03,0.0
3.0,0.0,21.63055477124038,0.03,0.0
4.0,0.0,21.424460824578343,0.03,0.0
5.0,0.0,21.23969303214228,0.03,0.0
6.0,0.0,21.0893137862824,0.03,49.0681382425856
7.0,0.0,21.02364141645001,0.03,277.63595752723967
8.0,0.0,21.04894933328242,0.165,629.7892760415601
9.0,0.0,21.15407611126518,0.165,1028.9473126114465
10.0,0.0,21.31491417605469,0.165,1366.722750270262
11.0,0.0,21.383429531390696,0.165,1589.344881625523
12.0,0.0,21.44259488256917,0.165,1657.416511270418
13.0,0.0,21.49637127351566,0.165,1567.930854317364
14.0,0.0,21.554105458156894,0.165,1320.5532255880264
15.0,0.0,21.60155661177296,0.165,953.5778271961018
16.0,0.0,21.62443356316564,0.165,552.6646984215325
17.0,0.0,21.62802266610289,0.165,224.64338903931247
18.0,0.0,21.597286153188023,0.165,144.5526379830114
19.0,0.0,21.540356981062,0.165,82.7022954133079
20.0,0.0,21.44925671217327,0.165,17.023136223937684
21.0,0.0,21.334785367136647,0.165,0.0
22.0,0.0,21.194496684411497,0.165,0.0
23.0,0.0,21.04543844111857,0.165,0.0
24.0,0.0,20.8934254289181,0.03,0.0
1.0,0.0,20.74184127161542,0.03,0.0
2.0,0.0,20.550996185703653,0.03,0.0
3.0,0.0,20.35842887654581,0.03,0.0
4.0,0.0,20.17218536082921,0.03,0.0
5.0,0.0,20.01687642341505,0.03,0.0
6.0,0.0,19.90945004646491,0.03,48.46334603868936
7.0,0.0,19.88911851569396,0.03,281.94492267931315
8.0,0.0,19.936960894463013,0.03,651.1230847693731
9.0,0.0,20.0382356636106,0.03,1068.8252990996248
10.0,0.0,20.15769298730384,0.03,1422.4066291323688
11.0,0.0,20.194438766185176,0.03,1648.6435494667985
12.0,0.0,20.24192843955986,0.03,1713.6653525618824
13.0,0.0,20.29301493052473,0.03,1618.3878838002663
14.0,0.0,20.34905390831254,0.03,1353.8989571549728
15.0,0.0,20.402549485557,0.03,965.1175547629044
16.0,0.0,20.442055299302865,0.03,536.8918050330669
17.0,0.0,20.46416637074939,0.03,193.79855080807812
18.0,0.0,20.45781778718264,0.03,123.30860723725348
19.0,0.0,20.43445557832675,0.03,68.13760365124473
20.0,0.0,20.36471559682085,0.03,13.390452067205898
21.0,0.0,20.25859044197033,0.03,0.0
22.0,0.0,20.116119700330287,0.03,0.0
23.0,0.0,19.977111964643136,0.03,0.0
24.0,0.0,19.84225789896761,0.03,0.0
1.0,0.0,19.71780237090802,0.03,0.0
2.0,0.0,19.60028650310945,0.03,0.0
3.0,0.0,19.49643106437135,0.03,0.0
4.0,0.0,19.39380624420466,0.03,0.0
5.0,0.0,19.3023392739846,0.03,0.0
6.0,0.0,19.2295935017861,0.03,45.239335082329895
7.0,0.0,19.21300828850327,0.03,258.3456531257624
8.0,5120.220099367519,19.279485275863063,0.165,580.5098403818436
9.0,5824.342980469369,19.483575946060224,0.3,943.5772303395725
10.0,5566.667217104361,19.684012889469223,0.3,1262.1102808214025
11.0,5328.761972907831,19.831708524459955,0.3,1476.819409052166
12.0,5402.835335516274,19.9680237358185,0.3,1551.486953344606
13.0,5441.992223159295,20.114708052103285,0.3,1476.838312787102
14.0,5425.48369716856,20.26642936348247,0.3,1264.3092713497692
15.0,5382.348762979418,20.40812509390568,0.3,948.9277672436436
16.0,5261.643649578283,20.536212051895333,0.3,602.3202675896379
17.0,5062.975148953196,20.6318474449213,0.3,307.6689671089323
18.0,4811.269729198477,20.68327599998429,0.3,207.84708784488916
19.0,2260.645116533152,20.710016072123988,0.3,118.60774348016574
20.0,3697.078336478872,20.68351430291948,0.165,22.12494126551648
21.0,0.0,20.63113570743238,0.165,0.0
22.0,0.0,20.53429417038064,0.165,0.0
23.0,0.0,20.43843258416284,0.165,0.0
24.0,0.0,20.36422897156049,0.03,0.0
1.0,0.0,20.27358874439726,0.03,0.0
2.0,0.0,20.15189799941154,0.03,0.0
3.0,0.0,20.02655816776088,0.03,0.0
4.0,0.0,19.90923851568637,0.03,0.0
5.0,0.0,19.806616656417297,0.03,0.0
6.0,0.0,19.71696298695884,0.03,30.99457344513323
7.0,0.0,19.65458930177628,0.03,156.798018362637
8.0,5210.644967312936,19.635384020469463,0.165,316.8566000824824
9.0,4182.480330337468,19.7282199784482,0.3,500.9728205692239
10.0,4741.784473958332,19.85483391761406,0.3,678.1634386347616
11.0,5920.144858827782,19.970373888426906,0.3,819.4148085880538
12.0,4897.585128440804,20.11430496499368,0.3,898.1545711246786
13.0,4403.174780210056,20.27649527959983,0.3,901.7733393974892
14.0,4501.266040553936,20.423201547799053,0.3,837.1498343060109
15.0,4591.787427583835,20.535216301425496,0.3,721.8445314824605
16.0,4541.349948051097,20.599633187333808,0.3,583.0520980184054
17.0,4448.552400627229,20.63647802264393,0.3,439.6612356699196
18.0,4339.541168333024,20.65833401125029,0.3,312.46260447286335
19.0,3177.778132257087,20.68747402917456,0.3,177.43496094161637
20.0,4532.690525026128,20.65840084181395,0.165,28.87040122260255
21.0,0.0,20.644027829391327,0.165,0.0
22.0,0.0,20.57724234335743,0.165,0.0
23.0,0.0,20.507259106252786,0.165,0.0
24.0,0.0,20.44460519332369,0.03,0.0
